"Table 3: Estimated population by sex, five year age group and administrative area, mid-2012",,,,,,,,,,,,,,,,,,,,,,,Persons
,,,,,,,,,,,,,,,,,,,,,,,
Persons,,,Age group,,,,,,,,,,,,,,,,,,,,Area
Area,All Ages,,0 - 4, 5-9, 10-14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 - 89,90+,,
Stirling,"91,010",,"4,399","4,876","5,426","6,260","7,865","4,980","4,575","5,036","6,651","7,138","6,479","5,622","5,429","5,062","3,962","3,186","2,196","1,220",648,,Stirling
West Dunbartonshire,"90,340",,"5,292","4,821","4,759","5,532","5,858","5,679","5,347","5,154","6,541","7,450","6,980","6,119","5,546","4,697","3,683","2,988","2,168","1,131",595,,West Dunbartonshire
West Lothian,"176,010",,"11,318","10,981","10,669","11,119","10,303","10,794","11,146","11,977","14,541","14,596","12,906","10,454","9,990","8,696","6,547","4,668","3,012","1,554",739,,West Lothian
,,,,,,,,,,,,,,,,,,,,,,,
NHS Board areas1,,,,,,,,,,,,,,,,,,,,,,,NHS Board areas
Ayrshire & Arran,"373,220",,"19,753","19,327","20,327","22,789","21,487","19,713","19,660","20,704","26,826","29,337","27,884","25,476","25,354","23,606","18,138","14,444","9,940","5,544","2,911",,Ayrshire & Arran
Borders,"113,720",,"5,714","5,903","6,170","6,464","5,253","4,998","5,091","6,041","8,404","9,353","8,793","8,186","8,413","7,914","5,949","4,690","3,421","1,972",991,,Borders
Dumfries & Galloway,"150,840",,"7,479","7,628","7,794","8,757","7,606","7,346","7,008","7,427","10,131","11,909","11,467","10,798","11,145","10,579","8,285","6,801","4,740","2,626","1,314",,Dumfries & Galloway
Fife,"366,210",,"21,002","19,587","19,544","22,376","24,380","20,581","21,152","21,677","26,767","28,137","26,701","23,577","23,576","21,671","15,848","12,847","8,903","5,263","2,621",,Fife
Forth Valley,"299,090",,"16,670","16,334","16,827","18,742","19,617","16,930","17,584","18,685","23,207","24,061","21,783","18,688","18,510","16,465","12,581","10,070","6,752","3,678","1,906",,Forth Valley
Grampian,"573,400",,"32,573","29,063","29,320","34,119","42,196","40,607","38,040","36,637","41,398","43,363","40,312","36,911","34,833","29,205","22,253","18,104","13,104","7,545","3,817",,Grampian
Greater Glasgow & Clyde,"1,137,320",,"63,453","57,058","58,818","68,895","92,378","85,333","77,518","68,827","81,766","87,582","82,531","69,462","61,353","53,454","43,338","36,918","26,532","14,500","7,604",,Greater Glasgow & Clyde
Highland,"319,800",,"16,636","16,779","17,702","18,560","15,721","16,665","16,848","17,421","22,230","25,302","24,354","23,042","23,317","20,894","15,774","12,247","8,790","4,924","2,594",,Highland
Lanarkshire,"652,220",,"37,781","36,756","37,165","39,955","39,311","39,009","40,967","41,079","50,313","52,323","48,728","42,711","38,801","34,022","26,673","21,224","14,373","7,462","3,567",,Lanarkshire
Lothian,"843,740",,"49,543","42,877","42,009","48,288","69,817","66,318","61,779","57,166","61,736","62,570","57,430","48,903","45,926","39,512","30,292","24,871","18,416","10,723","5,564",,Lothian
Orkney,"21,530",,"1,101","1,086","1,106","1,321","1,120","1,147","1,090","1,148","1,484","1,781","1,585","1,584","1,527","1,427","1,174",775,566,313,195,,Orkney
Shetland,"23,210",,"1,353","1,367","1,394","1,448","1,250","1,279","1,357","1,513","1,643","1,827","1,680","1,574","1,540","1,318",986,726,501,291,163,,Shetland
Tayside,"411,740",,"21,435","20,355","21,944","25,654","29,992","26,180","23,476","22,100","27,565","30,660","29,385","26,417","26,213","23,827","18,757","15,694","11,741","6,959","3,386",,Tayside
