"Table 3: Estimated population by sex, five year age group and administrative area, mid-2012",,,,,,,,,,,,,,,,,,,,,,,Persons
,,,,,,,,,,,,,,,,,,,,,,,
Persons,,,Age group,,,,,,,,,,,,,,,,,,,,Area
Area,All Ages,,0 - 4, 5-9, 10-14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 - 89,90+,,
Borders,"58,537",,"2,819","2,865","3,084","3,135","2,628","2,589","2,615","3,185","4,341","4,799","4,429","4,154","4,235","4,044","3,151","2,590","1,926","1,240",708,,Borders
Dumfries & Galloway,"77,628",,"3,698","3,686","3,736","4,264","3,781","3,687","3,727","3,874","5,319","6,128","5,880","5,547","5,579","5,472","4,302","3,609","2,773","1,637",929,,Dumfries & Galloway
Fife,"188,762",,"10,163","9,604","9,475","11,167","12,466","10,577","10,910","11,047","13,820","14,410","13,587","12,014","12,191","11,182","8,416","7,164","5,249","3,425","1,895",,Fife
Forth Valley,"153,730",,"8,247","7,926","8,206","9,091","9,873","8,657","9,096","9,679","11,901","12,229","11,010","9,555","9,465","8,525","6,841","5,589","4,056","2,396","1,388",,Forth Valley
Grampian,"289,772",,"15,885","14,198","14,111","16,735","20,848","20,201","18,711","18,027","20,947","22,024","20,143","18,382","17,272","15,014","11,817","10,006","7,882","4,868","2,701",,Grampian
Greater Glasgow & Clyde,"590,326",,"31,057","27,927","28,751","33,750","46,933","42,819","39,339","35,095","42,785","45,670","42,891","35,589","31,568","28,071","24,129","21,771","16,602","9,837","5,742",,Greater Glasgow & Clyde
Highland,"163,584",,"8,097","8,187","8,530","8,862","7,374","8,373","8,508","9,109","11,756","13,018","12,391","11,669","11,810","10,570","8,322","6,793","5,127","3,162","1,926",,Highland
Lanarkshire,"337,661",,"18,527","17,984","18,279","19,351","19,457","20,385","21,140","20,951","26,008","27,034","25,009","22,089","20,095","17,896","14,677","12,335","8,843","4,967","2,634",,Lanarkshire
Lothian,"433,391",,"24,366","20,733","20,731","23,606","36,030","34,065","31,473","28,392","31,321","31,561","29,142","24,790","23,645","20,678","16,536","14,050","11,216","7,011","4,045",,Lothian
Orkney,"10,837",,533,540,546,629,525,587,564,601,766,877,751,782,771,710,598,416,316,189,136,,Orkney
Shetland,"11,440",,612,651,692,695,601,616,670,738,837,878,818,793,715,637,508,386,290,184,119,,Shetland
Tayside,"212,142",,"10,521","9,937","10,672","12,701","14,811","13,100","11,882","11,459","14,260","15,595","15,061","13,493","13,406","12,404","10,094","8,731","6,960","4,630","2,425",,Tayside
Western Isles,"13,954",,582,734,743,790,532,596,702,799,985,"1,026","1,008",964,"1,027",938,770,681,513,347,217,,Western Isles
,,,,,,,,,,,,,,,,,,,,,,,
Footnote,,,,,,,,,,,,,,,,,,,,,,,
1) April 2014 NHS Board areas.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
© Crown Copyright 2016,,,,,,,,,,,,,,,,,,,,,,,
